Delegacia;Nome Antigo;CNPJ;Código;Categoria
21ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;27º DISTRITO POLICIAL;01.869.564/0001-28;20174878;Delegacia
22ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;32º DISTRITO POLICIAL;01.869.564/0001-28;20174886;Delegacia
23º DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;33º DISTRITO POLICIAL;01.869.564/0001-28;20174892;Delegacia
24ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;34º DISTRITO POLICIAL;01.869.564/0001-28;20174897;Delegacia
25ª DELEGACIA DE POLÍCIA CIVIL DA CAPITAL;25º DISTRITO POLICIAL;01.869.564/0001-28;20174865;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE FORTALEZA;DELEGACIA DE DEFESA DA MULHER DE FORTALEZA;01.869.564/0001-28;19603215;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE FORTALEZA;;01.869.564/0001-28;;Delegacia
DELEGACIA DE POLÍCIA CIVIL DA CRIANÇA E DO ADOLESCENTE;DELEGACIA DA CRIANÇA E DO ADOLESCENTE;01.869.564/0001-28;20174968;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE COMBATE À EXPLORAÇÃO DA CRIANÇA E DO ADOLESCENTE;DELEGACIA DE COMBATE À EXPLORAÇÃO DA CRIANÇA E DO ADOLESCENTE;01.869.564/0001-28;20174940;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE CAUCAIA;DELEGACIA DE DEFESA DA MULHER DE CAUCAIA;01.869.564/0001-28;20574463;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE CRATO;DELEGACIA DE DEFESA DA MULHER DE CRATO;01.869.564/0001-28;20573937;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE ICÓ;DELEGACIA DE DEFESA DA MULHER DE ICÓ;01.869.564/0001-28;21148023;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE IGUATU;DELEGACIA DE DEFESA DA MULHER DE IGUATU;01.869.564/0001-28;20343009;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE JUAZEIRO DO NORTE;DELEGACIA DE DEFESA DA MULHER DE JUAZEIRO DO NORTE;01.869.564/0001-28;20574045;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE MARACANAÚ;DELEGACIA DE DEFESA DA MULHER DE MARACANAÚ;01.869.564/0001-28;20574777;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE PACATUBA;DELEGACIA DE DEFESA DA MULHER DE PACATUBA;01.869.564/0001-28;24528958;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE ?UIXADÁ;DELEGACIA DE DEFESA DA MULHER DE ?UIXADÁ;01.869.564/0001-28;21939197;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE DEFESA DA MULHER DE SOBRAL;DELEGACIA DE DEFESA DA MULHER DE SOBRAL;01.869.564/0001-28;20574115;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PROTEÇÃO AO IDOSO E PESSOA COM DEFICIÊNCIA;DELEGACIA DE PROTEÇÃO AO IDOSO E PESSOA COM DEFICIÊNCIA;01.869.564/0001-28;20175021;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE REPRESSÃO AOS CRIMES DE INTOLERÂNCIA RACIAL, RELIGIOSA, POR IDENTIDADE D;DELEGACIA DE REPRESSÃO AOS CRIMES POR DISCRIMINAÇÃO RACIACIAL, RELIGIOSA, POR IDENTIDADE D;01.869.564/0001-28;30074282;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;1ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866829;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;2ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866845;Delegacia
3ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;3ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866876;Delegacia
4ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;4ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866907;Delegacia
5ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;5ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866919;Delegacia
6ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;6ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866963;Delegacia
7ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;7ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866974;Delegacia
8ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;8ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866984;Delegacia
9ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;9ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866987;Delegacia
10ª DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS E PROTEÇÃO À PESSOA;10ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866991;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE HOMICÍDIOS CONTRA AGENTES DE SEGURANÇA PÚBLICA;11ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20866995;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PESSOAS DESAPARECIDAS;12ª DELEGACIA DE HOMICÍDIOS;01.869.564/0001-28;20867001;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;DELEGACIA METROPOLITANA DE CAUCAIA;01.869.564/0001-28;20574910;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;DELEGACIA METROPOLITANA DE MARACANAÚ;01.869.564/0001-28;24527937;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE PACATUBA;DELEGACIA METROPOLITANA DE PACATUBA;01.869.564/0001-28;24528941;Delegacia
2º DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;18º DISTRITO POLICIAL;01.869.564/0001-28;20575326;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;29º DISTRITO POLICIAL;01.869.564/0001-28;20575043;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE PACATUBA;24º DISTRITO POLICIAL;01.869.564/0001-28;24529093;Delegacia
3ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;23º DISTRITO POLICIAL;-;;
3ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;20º DISTRITO POLICIAL;01.869.564/0001-28;20575278;Delegacia
4ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;22º DISTRITO POLICIAL;01.869.564/0001-28;24529076;Delegacia
4ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;21º DISTRITO POLICIAL;01.869.564/0001-28;20575213;Delegacia
5ª DELEGACIA DE POLÍCIA CIVIL DE CAUCAIA;31º DISTRITO POLICIAL;01.869.564/0001-28;20574984;Delegacia
5ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;28º DISTRITO POLICIAL;01.869.564/0001-28;20575106;Delegacia
6ª DELEGACIA DE POLÍCIA CIVIL DE MARACANAÚ;14º DISTRITO POLICIAL;01.869.564/0001-28;20504911;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE A?UIRAZ;DELEGACIA METROPOLITANA DE A?UIRAZ;01.869.564/0001-28;20879494;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CASCAVEL;DELEGACIA METROPOLITANA DE CASCAVEL;01.869.564/0001-28;20879595;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CHOROZINHO;DELEGACIA METROPOLITANA DE CHOROZINHO;01.869.564/0001-28;24528606;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE EUSÉBIO;DELEGACIA METROPOLITANA DE EUSÉBIO;01.869.564/0001-28;20879465;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE GUAIÚBA;DELEGACIA METROPOLITANA DE GUAIÚBA;01.869.564/0001-28;24527945;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE HORIZONTE;DELEGACIA METROPOLITANA DE HORIZONTE;01.869.564/0001-28;24528518;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ITAITINGA;DELEGACIA METROPOLITANA DE ITAITINGA;01.869.564/0001-28;24528021;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MARANGUAPE;DELEGACIA METROPOLITANA DE MARANGUAPE;01.869.564/0001-28;24527937;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PACAJUS;DELEGACIA METROPOLITANA DE PACAJUS;01.869.564/0001-28;24527197;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PARACURU;DELEGACIA METROPOLITANA DE PARACURU;01.869.564/0001-28;24527888;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PARAIPABA;DELEGACIA METROPOLITANA DE PARAIPABA;01.869.564/0001-28;24527813;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PINDORETAMA;DELEGACIA METROPOLITANA DE PINDORETAMA;01.869.564/0001-28;20879517;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SÃO GONÇALO DO AMARANTE;DELEGACIA METROPOLITANA DE SÃO GONÇALO DO AMARANTE;01.869.564/0001-28;24527934;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TRAIRI;DELEGACIA METROPOLITANA DE TRAIRI;01.869.564/0001-28;24527467;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE SOBRAL;DELEGACIA REGIONAL DE SOBRAL;01.869.564/0001-28;20574850;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE SOBRAL;DELEGACIA MUNICIPAL DE SOBRAL;01.869.564/0001-28;29625928;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ACARAÚ;DELEGACIA REGIONAL DE ACARAÚ;01.869.564/0001-28;24418864;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE AMONTADA;DELEGACIA MUNICIPAL DE AMONTADA;01.869.564/0001-28;24527550;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ARACOIABA;DELEGACIA MUNICIPAL DE ARACOIABA;01.869.564/0001-28;24528633;Delegacia
